answer_history_id,student_id,question_id,mistake_case_id,review_plan_id,submit_no,is_correct,submit_time,photo_url,ocr_answer,ocr_steps,knowledge_id,error_cause_id,submit_type
A001,S001,Q0002,M001,,1,0,2026/02/04 13:43,,,,K005,E002,首次做题
A002,S001,Q0002,M001,,2,0,2026/02/04 12:44,,,,K005,E002,错题订正
A003,S001,Q0002,M001,,3,1,2026/02/04 20:02,,,,K005,E002,复习做题
A004,S001,Q0004,M002,,1,0,2026/03/29 09:05,,,,K009,E003,首次做题
A005,S001,Q0004,M002,,2,1,2026/03/29 15:01,,,,K009,E003,错题订正
A006,S001,Q0005,M003,,1,0,2026/01/31 12:07,,,,K004,E002,首次做题
A007,S001,Q0005,M003,,2,0,2026/01/31 09:47,,,,K004,E002,错题订正
A008,S001,Q0005,M003,,3,1,2026/01/31 11:37,,,,K004,E002,复习做题
A009,S001,Q0003,M004,,1,0,2026/01/23 13:35,,,,K008,E003,首次做题
A010,S001,Q0003,M004,,2,0,2026/01/23 19:45,,,,K008,E003,错题订正
A011,S001,Q0003,M004,,3,1,2026/01/23 17:22,,,,K008,E003,复习做题
A012,S002,Q0004,M005,,1,1,2026/01/21 14:24,,,,K005,E002,首次做题
A013,S002,Q0002,M006,,1,0,2026/02/05 12:27,,,,K001,E001,首次做题
A014,S002,Q0002,M006,,2,0,2026/02/05 11:38,,,,K001,E001,错题订正
A015,S002,Q0002,M006,,3,1,2026/02/05 11:13,,,,K001,E001,复习做题
A016,S002,Q0001,M007,,1,0,2026/02/02 09:24,,,,K002,E002,首次做题
A017,S002,Q0001,M007,,2,0,2026/02/02 15:10,,,,K002,E002,错题订正
A018,S002,Q0001,M007,,3,1,2026/02/02 18:12,,,,K002,E002,复习做题
A019,S002,Q0005,M008,,1,1,2026/03/27 18:52,,,,K003,E003,首次做题
A020,S002,Q0003,M009,,1,1,2026/02/12 12:55,,,,K009,E003,首次做题
A021,S003,Q0004,M010,,1,0,2026/01/04 16:14,,,,K002,E002,首次做题
A022,S003,Q0004,M010,,2,1,2026/01/04 20:53,,,,K002,E002,错题订正
A023,S003,Q0001,M011,,1,1,2026/01/04 14:55,,,,K006,E002,首次做题
A024,S003,Q0005,M012,,1,0,2026/03/20 16:13,,,,K001,E001,首次做题
A025,S003,Q0005,M012,,2,1,2026/03/20 20:10,,,,K001,E001,错题订正
A026,S003,Q0002,M013,,1,0,2026/03/08 08:24,,,,K007,E003,首次做题
A027,S003,Q0002,M013,,2,1,2026/03/08 09:04,,,,K007,E003,错题订正
A028,S003,Q0003,M014,,1,1,2026/01/15 16:17,,,,K001,E003,首次做题
A029,S004,Q0002,M015,,1,0,2026/01/11 17:34,,,,K004,E001,首次做题
A030,S004,Q0002,M015,,2,1,2026/01/11 16:48,,,,K004,E001,错题订正
A031,S004,Q0001,M016,,1,0,2026/03/11 10:48,,,,K008,E002,首次做题
A032,S004,Q0001,M016,,2,0,2026/03/11 13:54,,,,K008,E002,错题订正
A033,S004,Q0001,M016,,3,1,2026/03/11 13:58,,,,K008,E002,复习做题
A034,S004,Q0005,M017,,1,0,2026/01/12 08:53,,,,K007,E002,首次做题
A035,S004,Q0005,M017,,2,1,2026/01/12 15:21,,,,K007,E002,错题订正
A036,S004,Q0004,M018,,1,1,2026/01/02 08:36,,,,K002,E003,首次做题
A037,S004,Q0003,M019,,1,0,2026/03/03 09:48,,,,K007,E003,首次做题
A038,S004,Q0003,M019,,2,1,2026/03/03 13:30,,,,K007,E003,错题订正
A039,S005,Q0005,M020,,1,0,2026/03/24 15:05,,,,K001,E002,首次做题
A040,S005,Q0005,M020,,2,0,2026/03/24 16:15,,,,K001,E002,错题订正
A041,S005,Q0005,M020,,3,1,2026/03/24 14:19,,,,K001,E002,复习做题
A042,S005,Q0002,M021,,1,1,2026/02/26 09:26,,,,K006,E002,首次做题
A043,S005,Q0003,M022,,1,0,2026/01/08 18:09,,,,K002,E001,首次做题
A044,S005,Q0003,M022,,2,1,2026/01/08 08:28,,,,K002,E001,错题订正
A045,S005,Q0001,M023,,1,0,2026/02/07 10:13,,,,K010,E002,首次做题
A046,S005,Q0001,M023,,2,1,2026/02/07 09:36,,,,K010,E002,错题订正
A047,S005,Q0004,M024,,1,1,2026/02/16 11:41,,,,K007,E001,首次做题
A048,S006,Q0002,M025,,1,1,2026/03/18 15:50,,,,K004,E002,首次做题
A049,S006,Q0001,M026,,1,0,2026/02/15 17:57,,,,K007,E002,首次做题
A050,S006,Q0001,M026,,2,1,2026/02/15 18:04,,,,K007,E002,错题订正
A051,S006,Q0003,M027,,1,0,2026/03/20 14:55,,,,K002,E002,首次做题
A052,S006,Q0003,M027,,2,1,2026/03/20 16:27,,,,K002,E002,错题订正
A053,S006,Q0004,M028,,1,0,2026/01/23 14:33,,,,K010,E003,首次做题
A054,S006,Q0004,M028,,2,0,2026/01/23 10:17,,,,K010,E003,错题订正
A055,S006,Q0004,M028,,3,1,2026/01/23 16:42,,,,K010,E003,复习做题
A056,S006,Q0005,M029,,1,1,2026/02/03 19:11,,,,K006,E001,首次做题
A057,S007,Q0001,M030,,1,0,2026/01/15 20:59,,,,K003,E002,首次做题
A058,S007,Q0001,M030,,2,1,2026/01/15 13:58,,,,K003,E002,错题订正
A059,S007,Q0004,M031,,1,0,2026/02/24 19:37,,,,K008,E002,首次做题
A060,S007,Q0004,M031,,2,1,2026/02/24 17:51,,,,K008,E002,错题订正
A061,S007,Q0005,M032,,1,0,2026/01/14 10:59,,,,K002,E002,首次做题
