knowledge_mastery_id,student_id,knowledge_id,mastery_level,correct_streak,wrong_streak,updated_at
KM001,S001,K008,Mastered,10,0,2026/01/21
KM002,S001,K009,Improving,3,0,2026/02/23
KM003,S002,K008,Mastered,1,0,2026/01/15
KM004,S002,K009,Weak,0,4,2026/01/06
KM005,S003,K008,Improving,4,0,2026/03/29
KM006,S003,K009,Weak,0,5,2026/01/23
KM007,S004,K007,Mastered,10,0,2026/01/13
KM008,S004,K005,Weak,0,5,2026/01/30
KM009,S004,K002,Improving,8,0,2026/03/22
KM010,S004,K009,Mastered,2,0,2026/02/07
KM011,S004,K010,Weak,0,0,2026/03/16
KM012,S004,K003,Mastered,7,0,2026/02/06
KM013,S004,K006,Weak,0,4,2026/03/13
KM014,S004,K008,Improving,1,0,2026/01/27
KM015,S004,K001,Improving,3,0,2026/02/13
KM016,S005,K001,Improving,7,0,2026/01/20
KM017,S005,K002,Improving,10,0,2026/02/13
KM018,S005,K003,Improving,5,0,2026/01/07
KM019,S005,K010,Weak,0,1,2026/02/24
KM020,S006,K001,Mastered,6,0,2026/03/14
KM021,S006,K005,Improving,3,0,2026/02/25
KM022,S006,K007,Improving,7,0,2026/01/23
KM023,S006,K008,Weak,0,3,2026/02/04
KM024,S006,K009,Weak,0,4,2026/01/21
KM025,S007,K008,Improving,9,0,2026/02/26
KM026,S007,K009,Weak,0,3,2026/01/20
KM027,S008,K004,Weak,0,1,2026/02/17
KM028,S008,K005,Mastered,3,0,2026/02/25
KM029,S008,K006,Weak,0,3,2026/03/04
KM030,S008,K007,Improving,5,0,2026/02/20
KM031,S009,K001,Improving,5,0,2026/01/22
KM032,S009,K002,Improving,8,0,2026/01/16
KM033,S009,K003,Improving,8,0,2026/03/20
KM034,S009,K010,Improving,6,0,2026/01/21
KM035,S010,K006,Weak,0,5,2026/03/26
KM036,S010,K005,Mastered,6,0,2026/02/26
KM037,S010,K008,Mastered,10,0,2026/03/21
KM038,S010,K002,Mastered,6,0,2026/02/20
KM039,S010,K009,Weak,0,3,2026/03/05
KM040,S010,K004,Improving,9,0,2026/03/18
KM041,S010,K001,Improving,3,0,2026/03/16
KM042,S010,K007,Improving,6,0,2026/03/31
KM043,S010,K010,Weak,0,4,2026/01/28
KM044,S010,K003,Improving,7,0,2026/02/17
KM045,S011,K001,Improving,3,0,2026/03/19
KM046,S011,K002,Weak,0,5,2026/03/30
KM047,S011,K003,Improving,10,0,2026/03/29
KM048,S011,K010,Weak,0,5,2026/02/06
KM049,S012,K003,Mastered,3,0,2026/03/06
KM050,S012,K006,Improving,2,0,2026/03/27
KM051,S012,K001,Improving,2,0,2026/03/22
KM052,S012,K009,Mastered,6,0,2026/03/22
KM053,S012,K007,Mastered,2,0,2026/01/27
KM054,S012,K005,Improving,3,0,2026/02/27
KM055,S012,K010,Improving,9,0,2026/01/29
KM056,S012,K008,Weak,0,3,2026/02/18
KM057,S013,K001,Improving,10,0,2026/02/20
KM058,S013,K005,Improving,10,0,2026/03/30
KM059,S013,K002,Improving,8,0,2026/02/05
KM060,S013,K003,Mastered,3,0,2026/03/06
KM061,S013,K004,Mastered,5,0,2026/03/25
KM062,S013,K010,Mastered,6,0,2026/02/13
KM063,S013,K008,Weak,0,1,2026/01/25
KM064,S013,K006,Weak,0,1,2026/02/26
KM065,S013,K009,Weak,0,4,2026/03/04
KM066,S013,K007,Improving,10,0,2026/01/14
KM067,S014,K009,Mastered,8,0,2026/01/05
KM068,S014,K008,Weak,0,1,2026/03/27
KM069,S014,K006,Weak,0,3,2026/03/03
KM070,S014,K005,Weak,0,0,2026/02/01
KM071,S014,K003,Improving,6,0,2026/02/19
KM072,S014,K010,Improving,5,0,2026/03/19
KM073,S014,K001,Improving,9,0,2026/01/05
KM074,S014,K004,Improving,3,0,2026/01/21
KM075,S014,K002,Improving,5,0,2026/01/22
KM076,S014,K007,Improving,3,0,2026/01/31
KM077,S015,K007,Mastered,0,0,2026/01/07
KM078,S015,K008,Weak,0,0,2026/03/26
KM079,S015,K002,Improving,3,0,2026/02/26
KM080,S015,K009,Weak,0,2,2026/02/14
KM081,S015,K005,Mastered,5,0,2026/01/30
KM082,S015,K003,Weak,0,3,2026/02/27
KM083,S015,K010,Mastered,10,0,2026/03/17
KM084,S015,K006,Weak,0,2,2026/03/28
KM085,S015,K001,Weak,0,4,2026/01/18
KM086,S015,K004,Weak,0,0,2026/02/07
KM087,S016,K001,Mastered,8,0,2026/01/18
KM088,S016,K010,Improving,5,0,2026/03/29
KM089,S016,K009,Improving,9,0,2026/01/13
KM090,S016,K005,Weak,0,4,2026/03/07
KM091,S016,K007,Weak,0,4,2026/02/02
KM092,S016,K008,Improving,7,0,2026/03/13
KM093,S016,K004,Weak,0,4,2026/02/23
