mistake_case_id,student_id,question_id,main_knowledge_id,main_error_cause_id,status,created_at
M001,S001,Q0002,K005,E002,已订正,2026-02-04
M002,S001,Q0004,K009,E003,已订正,2026-03-29
M003,S001,Q0005,K004,E002,已订正,2026-01-31
M004,S001,Q0003,K008,E003,已订正,2026-01-23
M005,S002,Q0004,K005,E002,待订正,2026-01-21
M006,S002,Q0002,K001,E001,已订正,2026-02-05
M007,S002,Q0001,K002,E002,已订正,2026-02-02
M008,S002,Q0005,K003,E003,待订正,2026-03-27
M009,S002,Q0003,K009,E003,待订正,2026-02-12
M010,S003,Q0004,K002,E002,已订正,2026-01-04
M011,S003,Q0001,K006,E002,待订正,2026-01-04
M012,S003,Q0005,K001,E001,已订正,2026-03-20
M013,S003,Q0002,K007,E003,已订正,2026-03-08
M014,S003,Q0003,K001,E003,待订正,2026-01-15
M015,S004,Q0002,K004,E001,已订正,2026-01-11
M016,S004,Q0001,K008,E002,已订正,2026-03-11
M017,S004,Q0005,K007,E002,已订正,2026-01-12
M018,S004,Q0004,K002,E003,待订正,2026-01-02
M019,S004,Q0003,K007,E003,已订正,2026-03-03
M020,S005,Q0005,K001,E002,已订正,2026-03-24
M021,S005,Q0002,K006,E002,待订正,2026-02-26
M022,S005,Q0003,K002,E001,已订正,2026-01-08
M023,S005,Q0001,K010,E002,已订正,2026-02-07
M024,S005,Q0004,K007,E001,待订正,2026-02-16
M025,S006,Q0002,K004,E002,待订正,2026-03-18
M026,S006,Q0001,K007,E002,已订正,2026-02-15
M027,S006,Q0003,K002,E002,已订正,2026-03-20
M028,S006,Q0004,K010,E003,已订正,2026-01-23
M029,S006,Q0005,K006,E001,待订正,2026-02-03
M030,S007,Q0001,K003,E002,已订正,2026-01-15
M031,S007,Q0004,K008,E002,已订正,2026-02-24
M032,S007,Q0005,K002,E002,已订正,2026-01-14
M033,S007,Q0002,K007,E001,待订正,2026-01-11
M034,S007,Q0003,K007,E001,已订正,2026-03-20
M035,S008,Q0001,K008,E003,待订正,2026-03-21
M036,S008,Q0004,K005,E002,已订正,2026-03-06
M037,S008,Q0005,K002,E001,已订正,2026-02-26
M038,S008,Q0002,K009,E001,已订正,2026-01-05
M039,S008,Q0003,K003,E001,待订正,2026-02-24
M040,S009,Q0005,K003,E001,待订正,2026-01-04
M041,S009,Q0003,K003,E003,已订正,2026-03-11
M042,S009,Q0002,K004,E001,待订正,2026-01-10
M043,S009,Q0004,K005,E002,已订正,2026-03-04
M044,S009,Q0001,K009,E002,待订正,2026-03-16
M045,S010,Q0001,K001,E001,已订正,2026-03-14
M046,S010,Q0004,K006,E002,已订正,2026-01-23
M047,S010,Q0005,K010,E002,待订正,2026-02-08
M048,S010,Q0003,K005,E003,待订正,2026-03-08
M049,S010,Q0002,K009,E003,待订正,2026-03-11
M050,S011,Q0003,K006,E002,待订正,2026-02-11
M051,S011,Q0001,K009,E002,已订正,2026-03-07
M052,S011,Q0002,K002,E001,已订正,2026-01-07
M053,S011,Q0005,K001,E003,已订正,2026-02-27
M054,S011,Q0004,K009,E003,已订正,2026-01-25
M055,S012,Q0003,K010,E002,已订正,2026-01-07
M056,S012,Q0005,K009,E001,已订正,2026-01-21
M057,S012,Q0002,K008,E003,待订正,2026-02-02
M058,S012,Q0001,K008,E002,待订正,2026-02-15
M059,S012,Q0004,K002,E003,已订正,2026-01-24
M060,S013,Q0001,K008,E003,待订正,2026-02-21
M061,S013,Q0005,K002,E002,已订正,2026-03-29
M062,S013,Q0002,K006,E002,已订正,2026-03-20
M063,S013,Q0004,K008,E002,待订正,2026-03-03
M064,S013,Q0003,K006,E001,已订正,2026-03-19
M065,S014,Q0002,K003,E001,待订正,2026-01-16
M066,S014,Q0003,K006,E003,已订正,2026-02-11
M067,S014,Q0005,K006,E003,已订正,2026-02-03
M068,S014,Q0001,K002,E002,待订正,2026-02-17
M069,S014,Q0004,K003,E001,已订正,2026-01-05
M070,S015,Q0002,K009,E001,已订正,2026-03-09
M071,S015,Q0005,K007,E003,已订正,2026-02-05
M072,S015,Q0003,K010,E002,已订正,2026-03-10
M073,S015,Q0004,K003,E001,待订正,2026-01-22
M074,S015,Q0001,K002,E002,已订正,2026-02-05
M075,S016,Q0002,K002,E001,待订正,2026-02-25
M076,S016,Q0001,K005,E001,已订正,2026-03-02
M077,S016,Q0003,K002,E002,已订正,2026-03-08
