push_record_id,review_plan_id,push_date,push_stage,status,created_at
P001,R001,2026-01-07,Day1,已完成,2026-01-06
P002,R001,2026-01-09,Day3,待推送,2026-01-06
P003,R001,2026-01-13,Day7,待推送,2026-01-06
P004,R002,2026-01-24,Day1,已完成,2026-01-23
P005,R002,2026-01-26,Day3,已完成,2026-01-23
P006,R002,2026-01-30,Day7,已完成,2026-01-23
P007,R003,2026-01-31,Day1,已完成,2026-01-30
P008,R003,2026-02-02,Day3,待推送,2026-01-30
P009,R003,2026-02-06,Day7,待推送,2026-01-30
P010,R004,2026-03-17,Day1,已完成,2026-03-16
P011,R004,2026-03-19,Day3,待推送,2026-03-16
P012,R004,2026-03-23,Day7,待推送,2026-03-16
P013,R005,2026-03-14,Day1,待推送,2026-03-13
P014,R005,2026-03-16,Day3,待推送,2026-03-13
P015,R005,2026-03-20,Day7,已完成,2026-03-13
P016,R006,2026-02-25,Day1,已完成,2026-02-24
P017,R006,2026-02-27,Day3,待推送,2026-02-24
P018,R006,2026-03-03,Day7,已完成,2026-02-24
P019,R007,2026-02-05,Day1,已完成,2026-02-04
P020,R007,2026-02-07,Day3,已完成,2026-02-04
P021,R007,2026-02-11,Day7,已完成,2026-02-04
P022,R008,2026-01-22,Day1,已完成,2026-01-21
P023,R008,2026-01-24,Day3,待推送,2026-01-21
P024,R008,2026-01-28,Day7,已完成,2026-01-21
P025,R009,2026-01-21,Day1,已完成,2026-01-20
P026,R009,2026-01-23,Day3,已完成,2026-01-20
P027,R009,2026-01-27,Day7,已完成,2026-01-20
P028,R010,2026-02-18,Day1,待推送,2026-02-17
P029,R010,2026-02-20,Day3,已完成,2026-02-17
P030,R010,2026-02-24,Day7,已完成,2026-02-17
P031,R011,2026-03-05,Day1,待推送,2026-03-04
P032,R011,2026-03-07,Day3,已完成,2026-03-04
P033,R011,2026-03-11,Day7,已完成,2026-03-04
P034,R012,2026-03-27,Day1,已完成,2026-03-26
P035,R012,2026-03-29,Day3,待推送,2026-03-26
P036,R012,2026-04-02,Day7,待推送,2026-03-26
P037,R013,2026-03-06,Day1,待推送,2026-03-05
P038,R013,2026-03-08,Day3,已完成,2026-03-05
P039,R013,2026-03-12,Day7,已完成,2026-03-05
P040,R014,2026-01-29,Day1,已完成,2026-01-28
P041,R014,2026-01-31,Day3,待推送,2026-01-28
P042,R014,2026-02-04,Day7,待推送,2026-01-28
P043,R015,2026-03-31,Day1,待推送,2026-03-30
P044,R015,2026-04-02,Day3,已完成,2026-03-30
P045,R015,2026-04-06,Day7,待推送,2026-03-30
P046,R016,2026-02-07,Day1,已完成,2026-02-06
P047,R016,2026-02-09,Day3,已完成,2026-02-06
P048,R016,2026-02-13,Day7,已完成,2026-02-06
P049,R017,2026-02-19,Day1,待推送,2026-02-18
P050,R017,2026-02-21,Day3,待推送,2026-02-18
P051,R017,2026-02-25,Day7,待推送,2026-02-18
P052,R018,2026-01-26,Day1,待推送,2026-01-25
P053,R018,2026-01-28,Day3,已完成,2026-01-25
P054,R018,2026-02-01,Day7,待推送,2026-01-25
P055,R019,2026-02-27,Day1,已完成,2026-02-26
P056,R019,2026-03-01,Day3,已完成,2026-02-26
P057,R019,2026-03-05,Day7,已完成,2026-02-26
P058,R020,2026-03-05,Day1,待推送,2026-03-04
P059,R020,2026-03-07,Day3,已完成,2026-03-04
P060,R020,2026-03-11,Day7,已完成,2026-03-04
P061,R021,2026-03-28,Day1,已完成,2026-03-27
P062,R021,2026-03-30,Day3,已完成,2026-03-27
