review_plan_id,knowledge_mastery_id,created_at,status,completed_at,plan_details,target_date,priority
R001,KM004,2026-01-06,进行中,NULL,{},2026-01-23,低
R002,KM006,2026-01-23,已完成,2026-02-06,{},2026-02-03,低
R003,KM008,2026-01-30,进行中,NULL,{},2026-02-16,高
R004,KM011,2026-03-16,进行中,NULL,{},2026-04-06,低
R005,KM013,2026-03-13,进行中,NULL,{},2026-04-11,低
R006,KM019,2026-02-24,进行中,NULL,{},2026-03-20,低
R007,KM023,2026-02-04,已完成,2026-02-13,{},2026-02-18,高
R008,KM024,2026-01-21,进行中,NULL,{},2026-02-04,中
R009,KM026,2026-01-20,进行中,NULL,{},2026-02-12,高
R010,KM027,2026-02-17,进行中,NULL,{},2026-03-10,低
R011,KM029,2026-03-04,进行中,NULL,{},2026-03-27,低
R012,KM035,2026-03-26,进行中,NULL,{},2026-04-20,高
R013,KM039,2026-03-05,进行中,NULL,{},2026-03-31,低
R014,KM043,2026-01-28,进行中,NULL,{},2026-02-08,低
R015,KM046,2026-03-30,已完成,2026-04-08,{},2026-04-21,高
R016,KM048,2026-02-06,进行中,NULL,{},2026-03-04,中
R017,KM056,2026-02-18,进行中,NULL,{},2026-02-25,中
R018,KM063,2026-01-25,进行中,NULL,{},2026-02-01,低
R019,KM064,2026-02-26,进行中,NULL,{},2026-03-05,低
R020,KM065,2026-03-04,进行中,NULL,{},2026-03-23,中
R021,KM068,2026-03-27,已完成,2026-03-31,{},2026-04-15,低
R022,KM069,2026-03-03,已完成,2026-03-15,{},2026-03-24,低
R023,KM070,2026-02-01,进行中,NULL,{},2026-02-14,高
R024,KM078,2026-03-26,已完成,2026-04-05,{},2026-04-23,中
R025,KM080,2026-02-14,已完成,2026-02-18,{},2026-03-04,高
R026,KM082,2026-02-27,进行中,NULL,{},2026-03-28,低
R027,KM084,2026-03-28,已完成,2026-04-04,{},2026-04-26,低
R028,KM085,2026-01-18,进行中,NULL,{},2026-01-30,高
R029,KM086,2026-02-07,已完成,2026-02-10,{},2026-02-14,高
R030,KM090,2026-03-07,已完成,2026-03-15,{},2026-03-27,低
R031,KM091,2026-02-02,进行中,NULL,{},2026-02-18,低
R032,KM093,2026-02-23,已完成,2026-03-05,{},2026-03-17,中
R033,KM094,2026-01-20,进行中,NULL,{},2026-02-08,高
R034,KM096,2026-01-05,已完成,2026-01-14,{},2026-01-18,中
R035,KM099,2026-01-03,进行中,NULL,{},2026-01-16,高
R036,KM103,2026-01-22,进行中,NULL,{},2026-02-18,低
R037,KM112,2026-03-16,已完成,2026-03-25,{},2026-04-11,高
R038,KM113,2026-02-13,进行中,NULL,{},2026-02-22,中
R039,KM118,2026-02-22,进行中,NULL,{},2026-03-22,高
R040,KM120,2026-03-13,进行中,NULL,{},2026-04-11,中
R041,KM122,2026-02-05,进行中,NULL,{},2026-03-01,低
R042,KM124,2026-01-08,已完成,2026-01-14,{},2026-02-07,低
R043,KM125,2026-02-16,进行中,NULL,{},2026-03-05,低
R044,KM127,2026-01-12,进行中,NULL,{},2026-02-09,中
R045,KM128,2026-02-08,进行中,NULL,{},2026-03-09,中
R046,KM129,2026-03-08,进行中,NULL,{},2026-04-03,低
R047,KM134,2026-02-23,已完成,2026-03-09,{},2026-03-15,低
R048,KM135,2026-02-06,进行中,NULL,{},2026-03-06,低
R049,KM139,2026-01-27,进行中,NULL,{},2026-02-18,中
R050,KM141,2026-03-20,进行中,NULL,{},2026-04-11,低
